ICAO,First Flight,Nominal OPR,Nominal BPR,F_00 ISA (kN),m_f max T/O (kg/s),m_f SLS FI (kg/s),M_EC,TR_EC,eta_DO,eta_1,C_T DO,TET MCC (K)
A30B,1973,26,4.6,466,4.80,0.40,0.674,4.93,0.276,0.322,0.0350,1350
A306,1983,32,4.9,525,5.08,0.42,0.683,5.34,0.313,0.364,0.0307,1486
A310,1982,26,5.0,444,4.29,0.38,0.686,5.37,0.334,0.384,0.0329,1474
A313,1982,28,5.0,480,4.51,0.39,0.684,5.36,0.327,0.375,0.0329,1474
A318,2002,25,5.2,199,2.06,0.21,0.689,6.03,0.293,0.340,0.0309,1649
A319,1995,25,5.6,212,1.99,0.21,0.701,5.85,0.283,0.328,0.0316,1600
A320,1987,27,5.6,225,2.15,0.22,0.701,5.90,0.309,0.358,0.0347,1529
A321,1993,31,5.3,269,2.69,0.25,0.694,5.74,0.295,0.343,0.0359,1584
A332,1992,34,5.1,609,5.94,0.49,0.686,5.73,0.325,0.370,0.0250,1576
A333,1992,34,5.1,604,5.84,0.49,0.687,5.73,0.344,0.391,0.0258,1576
A338,2018,45,9.0,656,4.96,0.48,0.763,6.25,0.360,0.400,0.0229,1726
A339,2017,45,9.0,656,4.96,0.48,0.763,6.23,0.359,0.400,0.0229,1723
A342,1991,30,6.7,579,5.52,0.48,0.725,5.64,0.326,0.367,0.0268,1567
A343,1991,30,6.7,579,5.52,0.48,0.725,5.66,0.331,0.373,0.0281,1567
A345,2002,36,7.5,1036,8.79,0.92,0.740,5.68,0.324,0.362,0.0245,1649
A346,2001,37,7.5,1051,8.96,0.92,0.740,5.68,0.336,0.375,0.0258,1643
A359,2013,41,9.0,758,5.64,0.58,0.764,6.12,0.371,0.405,0.0225,1706
A35K,2016,49,8.0,873,7.01,0.65,0.749,6.17,0.364,0.400,0.0223,1719
A388,2005,38,7.9,1351,10.57,1.07,0.747,5.87,0.363,0.399,0.0216,1667
BCS1,2013,36,11.3,201,1.44,0.15,0.785,6.23,0.326,0.365,0.0304,1706
BCS3,2015,36,11.3,201,1.44,0.15,0.785,6.26,0.327,0.363,0.0316,1715
A20N,2014,34,11.6,256,1.77,0.18,0.787,6.25,0.326,0.363,0.0302,1711
A21N,2016,34,11.6,256,1.77,0.18,0.787,6.20,0.340,0.380,0.0328,1719
B712,1998,30,4.6,179,1.82,0.20,0.675,6.00,0.289,0.351,0.0376,1622
B722,1967,17,1.0,200,3.41,0.42,0.557,4.63,0.243,0.286,0.0328,1244
B723,1967,17,1.0,200,3.30,0.28,0.557,4.66,0.215,0.269,0.0359,1244
B733,1984,23,5.1,187,2.01,0.23,0.688,5.50,0.273,0.323,0.0384,1497
B734,1988,24,5.1,190,2.05,0.24,0.688,5.59,0.269,0.319,0.0377,1539
B735,1989,23,5.1,187,2.01,0.23,0.688,5.69,0.255,0.302,0.0346,1549
B736,1997,23,5.4,190,1.88,0.20,0.695,5.90,0.289,0.335,0.0310,1615
B737,1997,26,5.2,214,2.18,0.21,0.691,5.90,0.287,0.333,0.0315,1615
B738,2006,28,5.1,233,2.43,0.22,0.688,6.10,0.282,0.327,0.0330,1672
B37M,2018,40,8.4,248,2.00,0.19,0.755,6.28,0.336,0.380,0.0305,1726
B38M,2016,40,8.4,248,2.00,0.19,0.755,6.26,0.338,0.383,0.0316,1719
B39M,2017,40,8.4,248,2.00,0.19,0.755,6.24,0.345,0.390,0.0331,1723
B742,1971,25,4.8,882,9.11,0.90,0.679,4.61,0.297,0.338,0.0259,1317
B743,1980,26,4.8,892,9.19,0.91,0.679,5.05,0.301,0.337,0.0253,1449
B744,1985,31,5.0,1021,9.79,0.82,0.684,5.30,0.318,0.356,0.0245,1508
B748,2010,43,8.0,1199,9.81,0.87,0.749,5.89,0.362,0.395,0.0224,1693
B752,1982,27,4.7,358,3.64,0.35,0.678,5.38,0.302,0.347,0.0306,1474
B753,1998,27,4.7,358,3.64,0.35,0.678,5.48,0.309,0.355,0.0306,1622
B762,1984,30,4.9,504,4.86,0.41,0.683,5.41,0.320,0.368,0.0272,1497
B763,1986,30,4.9,504,4.86,0.41,0.683,5.54,0.307,0.353,0.0240,1519
B764,1999,31,5.1,513,4.86,0.40,0.688,5.83,0.315,0.361,0.0278,1629
B77L,2005,41,7.2,1007,9.01,0.75,0.735,5.82,0.349,0.386,0.0239,1667
B772,1994,38,7.0,781,6.89,0.57,0.731,5.72,0.331,0.367,0.0242,1592
B77W,1994,42,7.1,1028,9.38,0.76,0.732,5.59,0.351,0.389,0.0264,1592
B773,1997,36,6.3,745,6.87,0.56,0.716,5.80,0.354,0.394,0.0266,1615
B788,2009,43,9.0,633,4.82,0.45,0.764,6.06,0.376,0.412,0.0238,1688
B789,2013,43,9.0,633,4.82,0.45,0.764,6.13,0.376,0.412,0.0239,1706
B78X,2017,46,8.9,689,5.33,0.47,0.762,6.19,0.365,0.400,0.0243,1723
E75S,2002,23,5.1,120,1.32,0.13,0.688,6.06,0.241,0.284,0.0339,1649
E75L,2002,23,5.1,120,1.32,0.13,0.688,6.06,0.241,0.284,0.0345,1649
E175,1995,17,4.8,66,0.72,0.09,0.680,5.92,0.223,0.273,0.0370,1600
E145,1995,19,4.7,74,0.82,0.10,0.678,5.92,0.242,0.292,0.0382,1600
E170,2002,23,5.1,120,1.32,0.13,0.688,6.06,0.241,0.284,0.0354,1649
E190,2004,27,5.1,167,1.74,0.18,0.687,6.07,0.267,0.310,0.0338,1661
E195,2004,27,5.1,162,1.67,0.17,0.687,6.07,0.268,0.310,0.0349,1661
E290,2016,33,11.6,186,1.30,0.14,0.787,6.27,0.331,0.368,0.0292,1719
E295,2017,36,11.4,201,1.42,0.14,0.786,6.28,0.323,0.360,0.0312,1723
MD82,1981,20,1.7,185,2.62,0.27,0.583,5.44,0.245,0.299,0.0376,1462
MD83,1984,20,1.7,193,2.71,0.27,0.582,5.57,0.238,0.290,0.0379,1497
GLF5,1995,25,4.1,138,1.49,0.17,0.659,5.85,0.318,0.367,0.0293,1600
DHC9,1999,23,5.1,121,1.33,0.13,0.688,5.96,0.218,0.304,0.0343,1629
DC93,1967,16,1.0,130,2.13,0.27,0.556,4.64,0.218,0.257,0.0343,1244
RJ1H,1987,13,5.1,124,1.43,0.18,0.688,5.68,0.218,0.274,0.0427,1529